external_gene_name,number_of_paralogues,paralogue
CTNNA1,4,Yes
CTNNA2,4,Yes
CTNNA3,4,Yes
CTNNAL1,4,Yes
CTNNB1,4,Yes
CTNNBIP1,1,Yes
CTNND1,6,Yes
CTNND2,6,Yes
CTPS1,1,Yes
CTPS2,1,Yes
CTRB1,2,Yes
CTRB2,2,Yes
CTRC,2,Yes
CTRL,1,Yes
CTSA,2,Yes
CTSB,12,Yes
CTSC,12,Yes
CTSD,10,Yes
CTSE,10,Yes
CTSF,12,Yes
CTSG,6,Yes
CTSH,12,Yes
CTSK,12,Yes
CTSL,12,Yes
CTSO,12,Yes
CTSS,12,Yes
CTSV,12,Yes
CTSW,12,Yes
CTSZ,12,Yes
CTTN,4,Yes
CTTNBP2,4,Yes
CTTNBP2NL,3,Yes
CTXN1,2,Yes
CTXN2,2,Yes
CTXN3,2,Yes
CU639417.1,22,Yes
CUBN,37,Yes
CUL1,7,Yes
CUL2,7,Yes
CUL3,7,Yes
CUL4A,7,Yes
CUL4B,7,Yes
CUL5,7,Yes
CUL7,1,Yes
CUL9,1,Yes
CUX1,1,Yes
CUX2,1,Yes
CUZD1,37,Yes
CWC22,1,Yes
CWC27,22,Yes
CWF19L1,1,Yes
CWF19L2,1,Yes
CX3CL1,27,Yes
CX3CR1,23,Yes
CXADR,15,Yes
CXCL1,12,Yes
CXCL10,12,Yes
CXCL11,12,Yes
CXCL13,12,Yes
CXCL2,12,Yes
CXCL3,12,Yes
CXCL5,12,Yes
CXCL6,12,Yes
CXCL8,12,Yes
CXCL9,12,Yes
CXCR1,23,Yes
CXCR2,23,Yes
CXCR3,23,Yes
CXCR4,23,Yes
CXCR5,23,Yes
CXCR6,23,Yes
CXorf40A,1,Yes
CXorf40B,1,Yes
CXorf49,2,Yes
CXorf49B,2,Yes
CXorf51A,1,Yes
CXorf51B,1,Yes
CXXC1,1,Yes
CXXC4,1,Yes
CXXC5,1,Yes
CYB561,2,Yes
CYB561A3,2,Yes
CYB561D1,1,Yes
CYB561D2,1,Yes
CYB5A,1,Yes
CYB5B,1,Yes
CYB5D2,3,Yes
CYB5R1,6,Yes
CYB5R2,6,Yes
CYB5R3,6,Yes
CYB5R4,6,Yes
CYB5RL,6,Yes
CYBB,6,Yes
CYBRD1,2,Yes
CYFIP1,1,Yes
CYFIP2,1,Yes
CYGB,12,Yes
CYLC1,1,Yes
CYLC2,1,Yes
CYP11A1,2,Yes
CYP11B1,2,Yes
CYP11B2,2,Yes
CYP19A1,12,Yes
CYP1A1,2,Yes
CYP1A2,2,Yes
CYP1B1,2,Yes
CYP24A1,3,Yes
CYP26A1,2,Yes
CYP26B1,2,Yes
CYP26C1,2,Yes
CYP27A1,3,Yes
CYP27B1,3,Yes
CYP27C1,3,Yes
CYP2A13,17,Yes
CYP2A6,17,Yes
CYP2A7,17,Yes
CYP2B6,17,Yes
CYP2C18,17,Yes
CYP2C19,17,Yes
CYP2C8,17,Yes
CYP2C9,17,Yes
CYP2D6,17,Yes
CYP2E1,17,Yes
CYP2F1,17,Yes
CYP2J2,17,Yes
CYP2R1,17,Yes
CYP2S1,17,Yes
CYP2U1,17,Yes
CYP2W1,17,Yes
CYP39A1,2,Yes
CYP3A4,4,Yes
CYP3A43,4,Yes
CYP3A5,4,Yes
CYP3A7,4,Yes
CYP3A7-CYP3A51P,4,Yes
CYP4A11,12,Yes
CYP4A22,12,Yes
CYP4B1,12,Yes
CYP4F11,12,Yes
CYP4F12,12,Yes
CYP4F2,12,Yes
CYP4F22,12,Yes
CYP4F3,12,Yes
CYP4F8,12,Yes
CYP4V2,12,Yes
CYP4X1,12,Yes
CYP4Z1,12,Yes
CYP7A1,2,Yes
CYP7B1,2,Yes
CYP8B1,1,Yes
CYSLTR1,16,Yes
CYSLTR2,16,Yes
CYTH1,16,Yes
CYTH2,16,Yes
CYTH3,16,Yes
CYTH4,16,Yes
CYTIP,1,Yes
D2HGDH,2,Yes
DAAM1,18,Yes
DAAM2,18,Yes
DAB1,11,Yes
DAB2,11,Yes
DAB2IP,11,Yes
DACH1,1,Yes
DACH2,1,Yes
DACT1,2,Yes
DACT2,2,Yes
DACT3,2,Yes
DAGLA,3,Yes
DAGLB,3,Yes
DAND5,1,Yes
DAO,1,Yes
DAPK1,5,Yes
DAPK2,5,Yes
DAPK3,5,Yes
DAPP1,9,Yes
DARS,4,Yes
DARS2,4,Yes
DAW1,27,Yes
DAZ1,5,Yes
DAZ2,5,Yes
DAZ3,5,Yes
DAZ4,5,Yes
DAZAP1,37,Yes
DAZL,5,Yes
DBF4,1,Yes
DBF4B,1,Yes
DBH,1,Yes
DBI,4,Yes
DBN1,4,Yes
DBNDD1,2,Yes
DBNDD2,2,Yes
DBNL,4,Yes
DBP,2,Yes
DBT,3,Yes
DBX1,3,Yes
DBX2,3,Yes
DCAF11,1,Yes
DCAF12,2,Yes
DCAF12L1,2,Yes
DCAF12L2,2,Yes
DCAF4,27,Yes
DCAF4L1,27,Yes
DCAF4L2,27,Yes
DCAF5,5,Yes
DCAF6,5,Yes
DCAF8,5,Yes
DCAF8L1,5,Yes
DCAF8L2,5,Yes
DCAKD,1,Yes
DCBLD1,1,Yes
DCBLD2,37,Yes
DCC,36,Yes
DCD,1,Yes
DCDC1,4,Yes
DCDC2,2,Yes
DCDC2B,2,Yes
DCDC2C,2,Yes
DCHS1,34,Yes
DCHS2,34,Yes
DCK,3,Yes
DCLK1,22,Yes
DCLK2,22,Yes
DCLK3,22,Yes
DCLRE1A,2,Yes
DCLRE1B,2,Yes
DCLRE1C,2,Yes
DCN,22,Yes
DCP1A,1,Yes
DCP1B,1,Yes
DCST1,3,Yes
DCST2,3,Yes
DCSTAMP,3,Yes
DCT,2,Yes
DCTD,1,Yes
DCTN1,5,Yes
DCUN1D1,4,Yes
DCUN1D2,4,Yes
DCUN1D3,4,Yes
DCUN1D4,4,Yes
DCUN1D5,4,Yes
DCX,6,Yes
DDAH1,1,Yes
DDAH2,1,Yes
DDB1,2,Yes
DDC,7,Yes
DDHD1,2,Yes
DDHD2,2,Yes
DDI1,4,Yes
DDI2,4,Yes
DDIT4,1,Yes
DDIT4L,1,Yes
DDO,1,Yes
DDR1,54,Yes
DDR2,54,Yes
DDT,3,Yes
DDTL,3,Yes
DDX1,38,Yes
DDX10,38,Yes
DDX11,4,Yes
DDX17,38,Yes
DDX18,38,Yes
DDX19A,38,Yes
DDX19B,38,Yes
DDX20,38,Yes
DDX21,38,Yes
DDX23,38,Yes
DDX24,38,Yes
DDX25,38,Yes
DDX27,38,Yes
DDX28,38,Yes
DDX31,38,Yes
DDX39A,38,Yes
DDX39B,38,Yes
DDX3X,38,Yes
DDX3Y,38,Yes
DDX4,38,Yes
DDX41,38,Yes
DDX42,38,Yes
DDX43,38,Yes
DDX46,38,Yes
DDX47,38,Yes
DDX49,38,Yes
DDX5,38,Yes
DDX50,38,Yes
DDX51,38,Yes
DDX52,38,Yes
DDX53,38,Yes
DDX54,38,Yes
DDX55,38,Yes
DDX56,38,Yes
DDX58,2,Yes
DDX59,38,Yes
DDX6,38,Yes
DDX60,8,Yes
DDX60L,8,Yes
DECR1,1,Yes
DECR2,1,Yes
DEDD,1,Yes
DEDD2,1,Yes
DEF6,2,Yes
DEF8,4,Yes
DEFA1,5,Yes
DEFA1B,5,Yes
DEFA3,5,Yes
DEFA4,5,Yes
DEFA5,5,Yes
DEFA6,5,Yes
DEFB103A,1,Yes
DEFB103B,1,Yes
DEFB104A,17,Yes
DEFB104B,17,Yes
DEFB105A,1,Yes
DEFB105B,1,Yes
DEFB106A,1,Yes
DEFB106B,1,Yes
DEFB107A,1,Yes
DEFB107B,1,Yes
DEFB108B,17,Yes
DEFB115,17,Yes
DEFB116,17,Yes
DEFB118,17,Yes
DEFB121,17,Yes
DEFB123,17,Yes
DEFB124,17,Yes
DEFB125,17,Yes
DEFB127,17,Yes
DEFB128,17,Yes
DEFB129,17,Yes
DEFB130A,3,Yes
DEFB130B,3,Yes
DEFB131A,17,Yes
DEFB131B,17,Yes
DEFB132,17,Yes
DEFB134,17,Yes
DEFB135,17,Yes
DEFB4A,3,Yes
DEFB4B,3,Yes
DEGS1,1,Yes
DEGS2,1,Yes
DELE1,4,Yes
DENND1A,2,Yes
DENND1B,2,Yes
DENND1C,2,Yes
DENND2A,3,Yes
DENND2C,3,Yes
DENND2D,3,Yes
DENND3,3,Yes
DENND4A,3,Yes
DENND4B,3,Yes
DENND4C,3,Yes
DENND5A,10,Yes
DENND5B,10,Yes
DENND6A,1,Yes
DENND6B,1,Yes
DEPDC1,3,Yes
DEPDC1B,3,Yes
DEPDC4,3,Yes
DEPDC5,1,Yes
DEPDC7,3,Yes
DEPTOR,3,Yes
DERL1,2,Yes
DERL2,2,Yes
DERL3,2,Yes
DES,69,Yes
DESI1,1,Yes
DESI2,1,Yes
DET1,1,Yes
DEUP1,2,Yes
DFFA,3,Yes
DGAT1,2,Yes
DGAT2,6,Yes
DGAT2L6,6,Yes
DGCR6,3,Yes
DGCR6L,3,Yes
DGKA,9,Yes
DGKB,9,Yes
DGKD,9,Yes
DGKE,9,Yes
DGKG,9,Yes
DGKH,9,Yes
DGKI,9,Yes
DGKK,9,Yes
DGKQ,9,Yes
DGKZ,9,Yes
DGUOK,3,Yes
DHCR7,2,Yes
DHDH,3,Yes
DHFR,2,Yes
DHFR2,2,Yes
DHH,2,Yes
DHODH,2,Yes
DHPS,1,Yes
DHRS1,13,Yes
DHRS11,13,Yes
DHRS12,26,Yes
DHRS13,4,Yes
DHRS2,13,Yes
DHRS3,26,Yes
DHRS4,13,Yes
DHRS4L2,13,Yes
DHRS7,13,Yes
DHRS7B,13,Yes
DHRS7C,13,Yes
DHRS9,26,Yes
DHRSX,4,Yes
DHTKD1,2,Yes
DHX15,18,Yes
DHX16,18,Yes
DHX29,18,Yes
DHX30,18,Yes
DHX32,18,Yes
DHX33,18,Yes
DHX34,18,Yes
DHX35,18,Yes
DHX36,18,Yes
DHX37,18,Yes
DHX38,18,Yes
DHX40,18,Yes
DHX57,18,Yes
DHX58,2,Yes
DHX8,18,Yes
DHX9,18,Yes
DIABLO,1,Yes
DIAPH1,18,Yes
DIAPH2,18,Yes
DIAPH3,18,Yes
DIDO1,2,Yes
DIMT1,2,Yes
DIO1,2,Yes
DIO2,2,Yes
DIO3,2,Yes
DIP2A,2,Yes
DIP2B,2,Yes
DIP2C,2,Yes
DIPK1A,2,Yes
DIPK1B,2,Yes
DIPK1C,2,Yes
DIPK2A,1,Yes
DIPK2B,1,Yes
DIRAS1,35,Yes
DIRAS2,35,Yes
DIRAS3,35,Yes
DIS3,2,Yes
DIS3L,2,Yes
DIS3L2,2,Yes
DISP1,10,Yes
DISP2,10,Yes
DISP3,10,Yes
DIXDC1,3,Yes
DLAT,3,Yes
DLC1,2,Yes
DLD,7,Yes
DLEC1,2,Yes
DLG1,3,Yes
DLG2,3,Yes
DLG3,3,Yes
DLG4,3,Yes
DLG5,4,Yes
DLGAP1,4,Yes
DLGAP2,4,Yes
DLGAP3,4,Yes
DLGAP4,4,Yes
DLGAP5,4,Yes
DLK1,1,Yes
DLK2,8,Yes
DLL1,5,Yes
DLL3,8,Yes
DLL4,5,Yes
DLST,3,Yes
DLX1,9,Yes
DLX2,9,Yes
DLX3,9,Yes
DLX4,9,Yes
DLX5,9,Yes
DLX6,9,Yes
DMBT1,15,Yes
DMBX1,50,Yes
DMC1,6,Yes
DMD,36,Yes
DMGDH,10,Yes
DMPK,14,Yes
DMRT1,8,Yes
DMRT2,8,Yes
DMRT3,8,Yes
DMRTA1,8,Yes
DMRTA2,8,Yes
DMRTB1,8,Yes
DMRTC1,8,Yes
DMRTC1B,8,Yes
DMRTC2,8,Yes
DMTF1,6,Yes
DMTN,3,Yes
DMWD,1,Yes
DMXL1,1,Yes
DMXL2,1,Yes
DNA2,10,Yes
DNAAF1,13,Yes
DNAAF2,2,Yes
DNAAF3,2,Yes
DNAAF4,18,Yes
DNAH1,14,Yes
DNAH10,14,Yes
DNAH11,14,Yes
DNAH12,14,Yes
DNAH17,14,Yes
DNAH2,14,Yes
DNAH3,14,Yes
DNAH5,14,Yes
DNAH6,14,Yes
DNAH7,14,Yes
DNAH8,14,Yes
DNAH9,14,Yes
DNAI1,7,Yes
DNAI2,7,Yes
DNAJA1,3,Yes
DNAJA2,3,Yes
DNAJA3,3,Yes
DNAJA4,3,Yes
DNAJB1,12,Yes
DNAJB11,12,Yes
DNAJB12,12,Yes
DNAJB13,12,Yes
DNAJB14,12,Yes
DNAJB2,12,Yes
DNAJB4,12,Yes
DNAJB5,12,Yes
DNAJB6,12,Yes
DNAJB7,12,Yes
DNAJB8,12,Yes
DNAJB9,12,Yes
DNAJC1,22,Yes
DNAJC10,22,Yes
DNAJC11,22,Yes
DNAJC12,22,Yes
DNAJC13,22,Yes
DNAJC14,22,Yes
DNAJC15,1,Yes
DNAJC16,22,Yes
DNAJC17,22,Yes
DNAJC18,22,Yes
DNAJC19,1,Yes
DNAJC2,22,Yes
DNAJC21,22,Yes
DNAJC24,22,Yes
DNAJC25,22,Yes
DNAJC25-GNG10,22,Yes
DNAJC27,71,Yes
DNAJC28,1,Yes
DNAJC3,22,Yes
DNAJC30,22,Yes
DNAJC4,22,Yes
DNAJC5,22,Yes
DNAJC5B,22,Yes
DNAJC5G,22,Yes
DNAJC6,1,Yes
DNAJC7,22,Yes
DNAJC9,22,Yes
DNASE1,3,Yes
DNASE1L1,3,Yes
DNASE1L2,3,Yes
DNASE1L3,3,Yes
DNASE2,1,Yes
DNASE2B,1,Yes
DND1,37,Yes
DNER,5,Yes
DNHD1,14,Yes
DNM1,6,Yes
DNM1L,6,Yes
DNM2,6,Yes
DNM3,6,Yes
DNMBP,2,Yes
DNMT1,1,Yes
DNMT3A,5,Yes
DNMT3B,5,Yes
DNMT3L,5,Yes
DNTT,3,Yes
DOC2A,31,Yes
DOC2B,31,Yes
DOCK1,10,Yes
DOCK10,10,Yes
DOCK11,10,Yes
DOCK2,10,Yes
DOCK3,10,Yes
DOCK4,10,Yes
DOCK5,10,Yes
DOCK6,10,Yes
DOCK7,10,Yes
DOCK8,10,Yes
DOCK9,10,Yes
DOK1,7,Yes
DOK2,7,Yes
DOK3,7,Yes
DOK4,7,Yes
DOK5,7,Yes
DOK6,7,Yes
DOLPP1,3,Yes
DOP1A,1,Yes
DOP1B,1,Yes
DPEP1,2,Yes
DPEP2,2,Yes
DPEP3,2,Yes
DPF1,9,Yes
DPF2,9,Yes
DPF3,9,Yes
DPH1,1,Yes
DPH2,1,Yes
DPM1,1,Yes
DPP10,6,Yes
DPP4,6,Yes
DPP6,6,Yes
DPP7,2,Yes
DPP8,6,Yes
DPP9,6,Yes
DPPA2,1,Yes
DPPA4,1,Yes
DPPA5,3,Yes
DPRX,50,Yes
DPY19L1,3,Yes
DPY19L2,3,Yes
DPY19L3,3,Yes
DPY19L4,3,Yes
DPYD,2,Yes
DPYS,5,Yes
DPYSL2,5,Yes
DPYSL3,5,Yes
DPYSL4,5,Yes
DPYSL5,5,Yes
DQX1,18,Yes
DR1,3,Yes
DRAM1,4,Yes
DRAM2,4,Yes
DRAP1,2,Yes
DRC1,1,Yes
DRC3,13,Yes
DRD1,25,Yes
DRD2,19,Yes
DRD3,25,Yes
DRD4,25,Yes
DRD5,25,Yes
DRG1,4,Yes
DRG2,4,Yes
DRGX,50,Yes
DRICH1,1,Yes
DRP2,36,Yes
DSC1,6,Yes
DSC2,6,Yes
DSC3,6,Yes
DSCAM,36,Yes
DSCAML1,36,Yes
DSE,2,Yes
DSEL,2,Yes
DSG1,6,Yes
DSG2,6,Yes
DSG3,6,Yes
DSG4,6,Yes
DSP,36,Yes
DST,36,Yes
DSTN,2,Yes
DSTYK,6,Yes
DTD1,2,Yes
DTD2,2,Yes
DTHD1,1,Yes
DTNA,36,Yes
DTNB,36,Yes
DTNBP1,2,Yes
DTWD1,1,Yes
DTX1,4,Yes
DTX2,4,Yes
DTX3,4,Yes
DTX3L,4,Yes
DTX4,4,Yes
DTYMK,1,Yes
DUOX1,6,Yes
DUOX2,6,Yes
DUOXA1,1,Yes
DUOXA2,1,Yes
DUPD1,30,Yes
DUS1L,4,Yes
DUS2,4,Yes
DUS3L,4,Yes
DUS4L,4,Yes
DUSP1,30,Yes
DUSP10,30,Yes
DUSP11,1,Yes
DUSP12,30,Yes
DUSP13,30,Yes
DUSP14,30,Yes
DUSP15,30,Yes
DUSP16,30,Yes
DUSP18,30,Yes
DUSP19,30,Yes
DUSP2,30,Yes
DUSP21,30,Yes
DUSP22,30,Yes
DUSP26,30,Yes
DUSP27,30,Yes
DUSP28,30,Yes
DUSP3,30,Yes
DUSP4,30,Yes
DUSP5,30,Yes
DUSP6,30,Yes
DUSP7,30,Yes
DUSP8,30,Yes
DUSP9,30,Yes
DUX4,50,Yes
DUXA,50,Yes
DUXB,50,Yes
DVL1,3,Yes
DVL2,3,Yes
DVL3,3,Yes
DYDC1,1,Yes
DYDC2,1,Yes
DYNC1H1,14,Yes
DYNC1I1,7,Yes
DYNC1I2,7,Yes
DYNC1LI1,1,Yes
DYNC1LI2,1,Yes
DYNC2H1,14,Yes
DYNLL1,1,Yes
DYNLL2,1,Yes
DYNLRB1,1,Yes
DYNLRB2,1,Yes
DYNLT1,6,Yes
DYNLT3,6,Yes
DYRK1A,13,Yes
DYRK1B,13,Yes
DYRK2,13,Yes
DYRK3,13,Yes
DYRK4,13,Yes
DYSF,4,Yes
DYTN,36,Yes
DZIP1,4,Yes
DZIP1L,4,Yes
DZIP3,4,Yes
E2F1,7,Yes
E2F2,7,Yes
E2F3,7,Yes
E2F4,7,Yes
E2F5,7,Yes
E2F6,7,Yes
E2F7,7,Yes
E2F8,7,Yes
E4F1,41,Yes
EAF1,1,Yes
EAF2,1,Yes
EARS2,2,Yes
EBF1,3,Yes
EBF2,3,Yes
EBF3,3,Yes
EBF4,3,Yes
EBI3,25,Yes
EBLN1,1,Yes
EBLN2,1,Yes
EBP,2,Yes
EBPL,2,Yes
ECE1,6,Yes
ECE2,7,Yes
ECEL1,6,Yes
ECH1,13,Yes
ECHDC1,13,Yes
ECHDC2,13,Yes
ECHDC3,13,Yes
ECHS1,13,Yes
ECI1,13,Yes
ECI2,4,Yes
ECM2,10,Yes
ECPAS,1,Yes
ECSCR,1,Yes
ECT2L,10,Yes
EDA,37,Yes
EDA2R,2,Yes
EDAR,2,Yes
EDDM3A,1,Yes
EDDM3B,1,Yes
EDEM1,6,Yes
EDEM2,6,Yes
EDEM3,6,Yes
EDIL3,37,Yes
EDN1,2,Yes
EDN2,2,Yes
EDN3,2,Yes
EDNRA,15,Yes
EDNRB,15,Yes
EEF1A1,18,Yes
EEF1A2,18,Yes
EEF1AKMT2,1,Yes
EEF1AKMT3,4,Yes
EEF1AKMT4,2,Yes
EEF1AKNMT,2,Yes
EEF1B2,2,Yes
EEF1D,2,Yes
EEF1E1,1,Yes
EEF1E1-BLOC1S5,1,Yes
EEF1G,14,Yes
EEF2,18,Yes
EEF2K,4,Yes
EEF2KMT,3,Yes
EEFSEC,18,Yes
EFCAB1,15,Yes
EFCAB10,2,Yes
EFCAB12,20,Yes
EFCAB2,20,Yes
EFCAB3,20,Yes
EFCAB5,1,Yes
EFCAB6,5,Yes
EFCAB7,20,Yes
EFCAB8,14,Yes
EFCAB9,20,Yes
EFCC1,2,Yes
EFEMP1,6,Yes
EFEMP2,6,Yes
EFHB,2,Yes
EFHC1,2,Yes
EFHC2,2,Yes
EFHD1,1,Yes
EFHD2,1,Yes
EFL1,18,Yes
EFNA1,8,Yes
EFNA2,8,Yes
EFNA3,8,Yes
EFNA4,8,Yes
EFNA5,8,Yes
EFNB1,8,Yes
EFNB2,8,Yes
EFNB3,8,Yes
EFR3A,1,Yes
EFR3B,1,Yes
EFS,3,Yes
EFTUD2,18,Yes
EGF,15,Yes
EGFL6,1,Yes
EGFL7,4,Yes
EGFL8,4,Yes
EGFLAM,28,Yes
EGFR,54,Yes
EGLN1,3,Yes
EGLN2,3,Yes
EGLN3,3,Yes
EGR1,4,Yes
EGR2,4,Yes
EGR3,4,Yes
EGR4,4,Yes
EHBP1,7,Yes
EHBP1L1,7,Yes
EHD1,10,Yes
EHD2,10,Yes
EHD3,10,Yes
EHD4,10,Yes
EHF,29,Yes
EHHADH,3,Yes
EHMT1,20,Yes
EHMT2,20,Yes
EID1,2,Yes
EID2,2,Yes
EID2B,2,Yes
EID3,1,Yes
EIF1,1,Yes
EIF1AX,1,Yes
EIF1AY,1,Yes
EIF1B,1,Yes
EIF2AK1,8,Yes
EIF2AK2,8,Yes
EIF2AK3,8,Yes
EIF2AK4,8,Yes
EIF2B1,3,Yes
EIF2B2,3,Yes
EIF2B3,3,Yes
EIF2B4,3,Yes
EIF2B5,3,Yes
EIF2S3,18,Yes
EIF2S3B,18,Yes
EIF3C,1,Yes
EIF3CL,1,Yes
EIF3F,2,Yes
EIF3H,3,Yes
EIF3M,2,Yes
EIF4A1,38,Yes
EIF4A2,38,Yes
EIF4A3,38,Yes
EIF4B,1,Yes
EIF4E,3,Yes
EIF4E1B,3,Yes
EIF4E2,3,Yes
EIF4E3,3,Yes
EIF4EBP1,2,Yes
EIF4EBP2,2,Yes
EIF4EBP3,2,Yes
EIF4G1,2,Yes
EIF4G2,2,Yes
EIF4G3,2,Yes
EIF4H,1,Yes
EIF5A,2,Yes
EIF5A2,2,Yes
EIF5AL1,2,Yes
EIF5B,18,Yes
EIF6,1,Yes
ELAC1,1,Yes
ELAC2,1,Yes
ELANE,6,Yes
ELAVL1,24,Yes
ELAVL2,24,Yes
ELAVL3,24,Yes
ELAVL4,24,Yes
ELF1,29,Yes
ELF2,29,Yes
ELF3,29,Yes
ELF4,29,Yes
ELF5,29,Yes
ELFN1,22,Yes
ELFN2,22,Yes
ELK1,29,Yes
ELK3,29,Yes
ELK4,29,Yes
ELL,5,Yes
ELL2,5,Yes
ELL3,5,Yes
ELMO1,5,Yes
ELMO2,5,Yes
ELMO3,5,Yes
ELMOD1,5,Yes
ELMOD2,5,Yes
ELMOD3,5,Yes
ELMSAN1,5,Yes
ELOA,4,Yes
ELOA2,4,Yes
ELOA3,4,Yes
ELOA3B,4,Yes
ELOA3D,4,Yes
ELOVL1,6,Yes
ELOVL2,6,Yes
ELOVL3,6,Yes
ELOVL4,6,Yes
ELOVL5,6,Yes
ELOVL6,6,Yes
ELOVL7,6,Yes
EMB,3,Yes
EMC8,1,Yes
EMC9,1,Yes
EME1,1,Yes
EME2,1,Yes
EMID1,37,Yes
EMILIN1,4,Yes
EMILIN2,4,Yes
EMILIN3,4,Yes
EML1,9,Yes
EML2,9,Yes
EML3,9,Yes
EML4,9,Yes
EML6,9,Yes
EMP1,10,Yes
EMP2,10,Yes
EMP3,10,Yes
EMX1,3,Yes
EMX2,3,Yes
EN1,3,Yes
EN2,3,Yes
ENAH,5,Yes
ENC1,2,Yes
ENDOG,1,Yes
ENG,2,Yes
ENKD1,1,Yes
ENKUR,1,Yes
ENO1,3,Yes
ENO2,3,Yes
ENO3,3,Yes
ENO4,3,Yes
ENOX1,1,Yes
ENOX2,1,Yes
ENPEP,11,Yes
ENPP1,6,Yes
ENPP2,6,Yes
ENPP3,6,Yes
ENPP4,6,Yes
ENPP5,6,Yes
ENPP6,6,Yes
ENPP7,6,Yes
ENSA,1,Yes
ENTHD1,5,Yes
ENTPD1,7,Yes
ENTPD2,7,Yes
ENTPD3,7,Yes
ENTPD4,7,Yes
ENTPD5,7,Yes
ENTPD6,7,Yes
ENTPD7,7,Yes
ENTPD8,7,Yes
EOGT,1,Yes
EOMES,16,Yes
EP300,1,Yes
EP400,35,Yes
EPAS1,7,Yes
EPB41,10,Yes
EPB41L1,10,Yes
EPB41L2,10,Yes
EPB41L3,10,Yes
EPB41L4A,10,Yes
EPB41L4B,10,Yes
EPB41L5,10,Yes
EPB42,9,Yes
EPC1,1,Yes
EPC2,1,Yes
EPCAM,1,Yes
EPG5,2,Yes
EPGN,5,Yes
EPHA1,54,Yes
EPHA10,54,Yes
EPHA2,54,Yes
EPHA3,54,Yes
EPHA4,54,Yes
EPHA5,54,Yes
EPHA6,54,Yes
EPHA7,54,Yes
EPHA8,54,Yes
EPHB1,54,Yes
EPHB2,54,Yes
EPHB3,54,Yes
EPHB4,54,Yes
EPHB6,54,Yes
EPHX2,12,Yes
EPHX3,12,Yes
EPHX4,12,Yes
EPM2A,30,Yes
EPM2AIP1,19,Yes
EPN1,5,Yes
EPN2,5,Yes
EPN3,5,Yes
EPOP,2,Yes
EPOR,7,Yes
EPPIN,14,Yes
EPPIN-WFDC6,14,Yes
EPPK1,36,Yes
EPRS,2,Yes
EPS15,10,Yes
EPS15L1,10,Yes
EPS8,3,Yes
EPS8L1,3,Yes
EPS8L2,3,Yes
EPS8L3,3,Yes
EPX,5,Yes
EPYC,10,Yes
ERAL1,1,Yes
ERAP1,11,Yes
ERAP2,11,Yes
ERAS,35,Yes
ERBB2,54,Yes
ERBB3,54,Yes
ERBB4,54,Yes
ERBIN,30,Yes
ERC1,1,Yes
ERC2,1,Yes
ERCC2,4,Yes
ERCC5,2,Yes
ERCC6,35,Yes
ERCC6L,35,Yes
ERCC6L2,35,Yes
ERCC8,9,Yes
EREG,5,Yes
ERF,29,Yes
ERFE,1,Yes
ERG,29,Yes
ERGIC1,2,Yes
ERGIC2,2,Yes
ERGIC3,2,Yes
ERI1,2,Yes
ERI2,2,Yes
ERI3,2,Yes
ERICH6,2,Yes
ERICH6B,2,Yes
ERLEC1,1,Yes
ERLIN1,1,Yes
ERLIN2,1,Yes
ERMAP,16,Yes
ERMN,6,Yes
ERN1,1,Yes
ERN2,1,Yes
ERO1A,1,Yes
ERO1B,1,Yes
ERP27,13,Yes
ERP44,13,Yes
ERV3-1,5,Yes
ERVFRD-1,5,Yes
ERVMER34-1,5,Yes
ERVV-1,5,Yes
ERVV-2,5,Yes
ERVW-1,5,Yes
ESAM,15,Yes
ESCO1,5,Yes
ESCO2,5,Yes
ESPN,1,Yes
ESPNL,1,Yes
ESR1,8,Yes
ESR2,8,Yes
ESRP1,8,Yes
ESRP2,8,Yes
ESRRA,8,Yes
ESRRB,8,Yes
ESRRG,8,Yes
ESX1,50,Yes
ESYT1,2,Yes
ESYT2,2,Yes
ESYT3,2,Yes
ETDA,2,Yes
ETDB,2,Yes
ETDC,2,Yes
ETFBKMT,2,Yes
ETHE1,4,Yes
ETNK1,4,Yes
ETNK2,4,Yes
ETNPPL,4,Yes
ETS1,29,Yes
ETS2,29,Yes
ETV1,29,Yes
ETV2,29,Yes
ETV3,29,Yes
ETV3L,29,Yes
ETV4,29,Yes
ETV5,29,Yes
ETV6,29,Yes
ETV7,29,Yes
EVA1A,1,Yes
EVA1B,1,Yes
EVA1C,44,Yes
EVC,1,Yes
EVC2,1,Yes
EVI2A,1,Yes
EVI5,46,Yes
EVI5L,46,Yes
EVL,5,Yes
EVPL,2,Yes
EVPLL,2,Yes
EVX1,50,Yes
EVX2,50,Yes
EWSR1,2,Yes
EXD1,1,Yes
EXD2,1,Yes
EXD3,1,Yes
EXO1,2,Yes
EXOC1,2,Yes
EXOC1L,2,Yes
EXOC3,4,Yes
EXOC3L1,4,Yes
EXOC3L2,4,Yes
EXOC3L4,4,Yes
EXOC6,1,Yes
EXOC6B,1,Yes
EXOG,1,Yes
EXOSC10,1,Yes
EXOSC2,1,Yes
EXOSC3,1,Yes
EXOSC4,2,Yes
EXOSC5,2,Yes
EXOSC6,2,Yes
EXOSC7,2,Yes
EXOSC8,2,Yes
EXOSC9,2,Yes
EXT1,4,Yes
EXT2,4,Yes
EXTL1,4,Yes
EXTL2,4,Yes
EXTL3,4,Yes
EYA1,3,Yes
EYA2,3,Yes
